Value.number,Value.name,Value.CardFrame,Value.CardType,Value.Level,Value.Scale,Value.Attack,Value.Defense,Value.Attribute
4682617,Abyss Actors' Curtain Call,trap,Normal,,,,,
6004133,Abyss Actors' Dress Rehearsal,spell,Normal,,,,,
21044178,Abyss Dweller,xyz,Sea Serpent,4,,1700,1400,WATER
40387124,Abyss Flower,normal,Plant,2,,750,400,EARTH
82184400,Abyss Keeper,link,Fish,2,,1500,,WATER
77297908,Abyss Playhouse - Fantastic Theater,spell,Field,,,,,
86578200,Abyss Prop - Wild Wagon,spell,Continuous,,,,,
70564929,Abyss Script - Abysstainment,spell,Continuous,,,,,
33503878,Abyss Script - Dramatic Story,spell,Normal,,,,,
87390798,Abyss Script - Fantasy Magic,spell,Normal,,,,,
50179591,Abyss Script - Fire Dragon's Lair,spell,Normal,,,,,
23784496,Abyss Script - Opening Ceremony,spell,Normal,,,,,
13662809,Abyss Script - Rise of the Abyss King,spell,Normal,,,,,
41803903,Abyss Script - Romantic Terror,spell,Quick-Play,,,,,
61496006,Abyss Shark,effect,Fish,5,,1200,700,WATER
18318842,Abyss Soldier,effect,Aqua,4,,1800,1300,WATER
97232518,Abyss Stungray,trap,Continuous,,,,,
88409165,Abyss Warrior,effect,Aqua,4,,1800,1300,WATER
19596712,Abyss-scale of Cetus,spell,Equip,,,,,
8719957,Abyss-scale of the Kraken,spell,Equip,,,,,
72932673,Abyss-scale of the Mizuchi,spell,Equip,,,,,
79206750,Abyss-scorn,trap,Normal,,,,,
60202749,Abyss-sphere,trap,Continuous,,,,,
34707034,Abyss-squall,trap,Normal,,,,,
97697447,Abyss-strom,trap,Normal,,,,,
89801755,Abyssal Designator,spell,Normal,,,,,
44223284,Abyssal Kingshark,effect,Fish,4,,1700,600,WATER
30983281,Accel Synchro Stardust Dragon,synchro,Dragon,8,,2500,2000,WIND
37675907,Accel Synchron,synchro,Machine,5,,500,2100,DARK
34838437,Accellight,spell,Normal,,,,,
86066372,Accesscode Talker,link,Cyberse,4,,2300,,DARK
98444741,Accumulated Fortune,trap,Normal,,,,,
98865920,Achacha Archer,effect,Warrior,3,,1200,600,FIRE
62476197,Achacha Chanbara,effect,Warrior,3,,1400,400,FIRE
15808381,Achichi @Ignister,effect,Cyberse,2,,800,800,FIRE
77568553,Acid Crawler,normal,Insect,3,,900,700,EARTH
21323861,Acid Rain,spell,Normal,,,,,
41356845,Acid Trap Hole,trap,Normal,,,,,
35956022,Acidic Downpour,spell,Field,,,,,
21051977,Acorno,effect,Plant,1,,200,400,EARTH
47372349,Acrobat Monkey,normal,Machine,3,,1000,1800,EARTH
33656832,Acrobatic Magician,effect_pendulum,Spellcaster,5,2,800,2300,DARK
35498188,Action Magic - Double Banking,spell,Quick-Play,,,,,
99004583,Action Magic - Full Turn,spell,Quick-Play,,,,,
81555617,Ad Libitum of Despia,effect,Fairy,8,,1500,2000,DARK
11302671,Adamancipator Analyzer,effect,Rock,4,,1500,700,EARTH
10286023,Adamancipator Crystal - Dragite,effect,Rock,4,,0,2200,WATER
47897376,Adamancipator Crystal - Leonite,effect,Rock,4,,0,2200,FIRE
74891384,Adamancipator Crystal - Raptite,effect,Rock,4,,0,2200,WIND
99927991,Adamancipator Friends,spell,Normal,,,,,
46552140,Adamancipator Laputite,spell,Field,,,,,
9341993,Adamancipator Relief,trap,Normal,,,,,
85914562,Adamancipator Researcher,effect,Rock,2,,100,2100,EARTH
45730592,Adamancipator Resonance,trap,Counter,,,,,
9464441,Adamancipator Risen - Dragite,synchro,Rock,8,,3000,2200,WATER
47674738,Adamancipator Risen - Leonite,synchro,Rock,6,,2400,2200,FIRE
73079836,Adamancipator Risen - Raptite,synchro,Rock,6,,2200,2800,WIND
48519867,Adamancipator Seeker,effect,Rock,2,,1200,1000,EARTH
72957245,Adamancipator Signs,spell,Normal,,,,,
23812568,Additional Mirror Level 7,spell,Quick-Play,,,,,
62325062,Adhesion Trap Hole,trap,Normal,,,,,
53828396,Adhesive Explosive,effect,Machine,3,,1000,1000,WIND
94119480,"Adreus, Keeper of Armageddon",xyz,Fiend,5,,2600,1700,DARK
15464375,Adularia of the June Moon,effect,Spellcaster,5,,1000,1000,WATER
51630558,Advance Draw,spell,Normal,,,,,
38589847,Advance Force,spell,Continuous,,,,,
76224717,Advance Zone,spell,Continuous,,,,,
18847598,Advanced Crystal Beast Amber Mammoth,effect,Beast,4,,1700,1600,EARTH
19963185,Advanced Crystal Beast Amethyst Cat,effect,Beast,3,,1200,400,EARTH
45236142,Advanced Crystal Beast Cobalt Eagle,effect,Winged Beast,4,,1400,800,WIND
46358784,Advanced Crystal Beast Emerald Tortoise,effect,Aqua,3,,600,2000,WATER
83575471,Advanced Crystal Beast Ruby Carbuncle,effect,Fairy,3,,300,300,LIGHT
71620241,Advanced Crystal Beast Sapphire Pegasus,effect,Beast,4,,1800,1200,WIND
72843899,Advanced Crystal Beast Topaz Tiger,effect,Beast,4,,1600,1000,EARTH
12644061,Advanced Dark,spell,Field,,,,,
61314842,Advanced Heraldry Art,spell,Normal,,,,,
46052429,Advanced Ritual Art,spell,Ritual,,,,,
10678778,Aegaion the Sea Castrum,xyz,Machine,8,,0,3000,WATER
47060347,Aegis of Gaia,trap,Continuous,,,,,
7935043,Aegis of the Ocean Dragon Lord,trap,Normal,,,,,
70875955,Aerial Recharge,trap,Continuous,,,,,
83094004,Aeropixthree,effect,Fairy,1,,200,200,WIND
56804361,"Aether, the Empowering Dragon",effect,Dragon,6,,2300,1600,LIGHT
28865322,"Aether, the Evil Empowering Dragon",effect_pendulum,Dragon,6,4,2300,1600,DARK
82263578,After the Storm,spell,Normal,,,,,
25345186,After the Struggle,spell,Normal,,,,,
43575579,Afterglow,spell,Normal,,,,,
64952266,Against the Wind,spell,Normal,,,,,
2411269,Agave Dragon,link,Wyrm,4,,3000,,EARTH
27822206,Ages of Stars and Frost,spell,Quick-Play,,,,,
16135253,Agido,effect,Fairy,4,,1500,1300,EARTH
62320425,Agido the Ancient Sentinel,effect,Fairy,4,,1500,1300,EARTH
13014905,Agnimal Candle,effect,Pyro,4,,1700,0,FIRE
86377375,"Ahrima, the Wicked Warden",effect,Fiend,4,,1700,0,DARK
96084564,Aileron,effect,Machine,1,,0,0,WIND
69023354,Air Armor Ninja,effect,Warrior,4,,1400,1400,WIND
98864751,Air Cracking Storm,spell,Equip,,,,,
8353769,Air Eater,normal,Fiend,6,,2100,1600,WIND
18036057,Airknight Parshath,effect,Fairy,5,,1900,1400,LIGHT
84747429,Airorca,effect,Sea Serpent,3,,1400,300,WIND
48202661,Aitsu,normal,Fairy,5,,100,100,FIRE
35877582,"Aiwass, the Magistus Spell Spirit",fusion,Fiend,8,,2000,2800,WIND
63378869,Aiza the Dragoness of Deranged Devotion,effect,Dragon,4,,1500,0,FIRE
38035986,Akakieisu,normal,Spellcaster,3,,1000,800,DARK
28776350,Akashic Magician,link,Spellcaster,2,,1700,,DARK
36904469,Akihiron,normal,Aqua,5,,1700,1400,WATER
38837163,"Akz, the Pumer",effect,Beast-Warrior,6,,1500,1000,EARTH
25795273,Al-Lumi'raj,effect,Wyrm,3,,1600,1000,WIND
3410461,Alba-Lenatus the Abyss Dragon,fusion,Dragon,8,,2500,2500,DARK
37683547,Albaz the Ashen,effect,Dragon,4,,1800,0,DARK
87746184,Albion the Branded Dragon,fusion,Dragon,8,,2500,2000,DARK
38811586,Albion the Sanctifire Dragon,fusion,Dragon,8,,3000,2500,LIGHT
25451383,Albion the Shrouded Dragon,effect,Dragon,8,,2500,2000,DARK
65301952,Alchemic Magician,xyz,Spellcaster,4,,1500,1500,DARK
78121572,Alchemist of Black Spells,effect,Spellcaster,4,,1200,1800,WIND
65384019,Alchemy Cycle,trap,Normal,,,,,
17573739,"Alector, Sovereign of Birds",effect,Winged Beast,6,,2400,2000,WIND
98787535,"Aleirtt, the Ogdoadic Dark",effect,Reptile,8,,2000,800,DARK
86120751,Aleister the Invoker,effect,Spellcaster,4,,1000,1800,DARK
97973962,Aleister the Invoker of Madness,link,Spellcaster,2,,1800,,DARK
26372118,ALERT!,spell,Quick-Play,,,,,
43096270,Alexandrite Dragon,normal,Dragon,4,,2000,100,LIGHT
45154513,Alghoul Mazera,effect,Zombie,8,,2800,2300,EARTH
14504454,"Alice, Lady of Lament",effect,Fiend,3,,0,2000,DARK
47728740,"Alich, Malebranche of the Burning Abyss",effect,Fiend,3,,1200,0,DARK
652362,Alien Ammonite,effect,Reptile,1,,500,200,LIGHT
17490535,Alien Brain,trap,Normal,,,,,
15475415,Alien Dog,effect,Reptile,3,,1500,1000,LIGHT
62437709,Alien Grey,effect,Reptile,2,,300,800,LIGHT
62315111,Alien Hunter,effect,Reptile,4,,1600,800,WATER
38468214,Alien Hypno,effect,Reptile,4,,1600,700,WATER
76573247,Alien Infiltrator,effect,Reptile,2,,800,500,EARTH
64160836,Alien Kid,effect,Reptile,4,,1600,700,LIGHT
99532708,Alien Mars,effect,Reptile,3,,1000,1000,FIRE
24104865,Alien Mother,effect,Reptile,6,,2300,1500,DARK
63253763,Alien Overlord,effect,Reptile,6,,2200,1600,DARK
58012107,Alien Psychic,effect,Reptile,1,,200,100,DARK
97127906,Alien Shocktrooper,normal,Reptile,4,,1900,800,EARTH
74974229,Alien Shocktrooper M-Frame,link,Reptile,2,,1900,,LIGHT
25920413,Alien Skull,effect,Reptile,4,,1600,1800,WIND
58066722,Alien Stealthbuster,effect,Reptile,4,,1700,1500,LIGHT
91070115,Alien Telepath,effect,Reptile,4,,1600,1000,FIRE
98719226,Alien Warrior,effect,Reptile,4,,1800,1000,EARTH
70924884,Alinsection,normal,Insect,3,,950,700,EARTH
70335319,All-Eyes Phantom Dragon,effect_pendulum,Dragon,10,0,3000,2500,LIGHT
30834988,All-Out Attacks,trap,Continuous,,,,,
64428736,Alligator's Sword,normal,Beast,4,,1500,1200,EARTH
3366982,Alligator's Sword Dragon,fusion,Dragon,5,,1700,1500,WIND
1475311,Allure of Darkness,spell,Normal,,,,,
87257460,Allure Queen LV3,effect,Spellcaster,3,,500,500,DARK
23756165,Allure Queen LV5,effect,Spellcaster,5,,1000,1000,DARK
50140163,Allure Queen LV7,effect,Spellcaster,7,,1500,1500,DARK
92881099,Alluring Mirror Split,spell,Continuous,,,,,
3544583,Allvain the Essence of Vanity,fusion,Fairy,2,,0,2100,DARK
40155554,Ally Mind,normal,Machine,5,,1800,1400,DARK
26593852,Ally of Justice Catastor,synchro,Machine,5,,2200,1200,DARK
89386122,Ally of Justice Clausolas,normal,Machine,6,,2300,1200,DARK
36629203,Ally of Justice Core Destroyer,effect,Machine,3,,1200,200,DARK
8822710,Ally of Justice Cosmic Gateway,effect,Machine,8,,2400,1200,DARK
8233522,Ally of Justice Cycle Reader,effect,Machine,3,,1000,1000,DARK
45586855,Ally of Justice Cyclone Creator,effect,Machine,3,,1400,1200,DARK
9888196,Ally of Justice Decisive Armor,synchro,Machine,10,,3300,3300,DARK
45033006,Ally of Justice Enemy Catcher,effect,Machine,6,,1800,1800,DARK
69461394,Ally of Justice Field Marshal,synchro,Machine,9,,2900,2600,DARK
25771826,Ally of Justice Garadholg,effect,Machine,4,,1600,400,DARK
19204398,Ally of Justice Light Gazer,synchro,Machine,8,,2400,1600,DARK
76650663,Ally of Justice Nullfier,effect,Machine,4,,1600,1200,DARK
45450218,Ally of Justice Omni-Weapon,effect,Machine,5,,2200,800,DARK
72845813,Ally of Justice Quarantine,effect,Machine,4,,1700,1200,DARK
55982698,Ally of Justice Reverse Break,effect,Machine,4,,1200,1200,DARK
52265835,Ally of Justice Rudra,effect,Machine,5,,1900,1200,DARK
3648368,Ally of Justice Searcher,effect,Machine,3,,1400,100,DARK
85876417,Ally of Justice Thousand Arms,effect,Machine,4,,1700,0,DARK
71438011,Ally of Justice Thunder Armor,effect,Machine,8,,2700,2200,DARK
22371016,Ally of Justice Unknown Crusher,effect,Machine,3,,1200,800,DARK
82377606,Ally of Justice Unlimiter,effect,Machine,2,,600,200,DARK
59482302,Ally Salvo,effect,Machine,2,,400,300,DARK
92998610,Aloof Lupine,effect,Beast,4,,1700,300,DARK
77797992,"Alpacaribou, Mystical Beast of the Forest",effect,Beast,7,,2700,2100,EARTH
73355951,Alpha Summon,trap,Normal,,,,,
42023223,Alpha The Electromagnet Warrior,effect,Rock,3,,1700,1100,EARTH
99785935,Alpha The Magnet Warrior,normal,Rock,4,,1400,1700,EARTH
73304257,"Alpha, the Master of Beasts",effect,Beast,8,,3000,2500,EARTH
10406322,"Alsei, the Sylvan High Protector",xyz,Plant,8,,2300,3200,LIGHT
21070956,Altar for Tribute,trap,Normal,,,,,
61470213,Altergeist Adminia,link,Spellcaster,4,,3000,,DARK
80143954,Altergeist Camouflage,trap,Normal,,,,,
21187631,Altergeist Dragvirion,synchro,Spellcaster,6,,2200,1200,DARK
86885905,Altergeist Emulatelf,trap,Continuous,,,,,
98753320,Altergeist Failover,trap,Continuous,,,,,
12977245,Altergeist Fifinellag,effect,Spellcaster,2,,0,1000,DARK
85673903,Altergeist Fijialert,effect,Spellcaster,4,,1400,1200,WATER
2547033,Altergeist Haunted Rock,trap,Continuous,,,,,
1508649,Altergeist Hexstia,link,Spellcaster,2,,1500,,FIRE
76685519,Altergeist Kidolga,link,Spellcaster,2,,1000,,DARK
52927340,Altergeist Kunquery,effect,Spellcaster,5,,0,2400,EARTH
27132400,Altergeist Malwisp,effect,Spellcaster,3,,1500,0,LIGHT
35146019,Altergeist Manifestation,trap,Normal,,,,,
53143898,Altergeist Marionetter,effect,Spellcaster,4,,1600,1700,LIGHT
25533642,Altergeist Meluseek,effect,Spellcaster,1,,500,300,WATER
23790299,Altergeist Memorygant,link,Spellcaster,4,,2800,,DARK
42790071,Altergeist Multifaker,effect,Spellcaster,3,,1200,800,DARK
54126514,Altergeist Peritrator,effect,Spellcaster,1,,500,300,FIRE
57769391,Altergeist Pixiel,effect,Spellcaster,1,,100,100,WIND
59185998,Altergeist Pookuery,effect,Spellcaster,1,,300,100,DARK
93503294,Altergeist Primebanshee,link,Spellcaster,3,,2100,,DARK
27541563,Altergeist Protocol,trap,Continuous,,,,,
22024279,Altergeist Revitalization,trap,Normal,,,,,
89538537,Altergeist Silquitous,effect,Spellcaster,2,,800,1500,WIND
27632240,Altitude Knight,effect,Warrior,4,,1400,1200,WIND
62962630,Aluber the Jester of Despia,effect,Fairy,4,,1800,0,DARK
27024795,Alviss of the Nordic Alfar,effect,Spellcaster,4,,1500,1000,DARK
2139640,Amabie,effect,Fairy,3,,0,0,WATER
32181268,Amano-Iwato,effect,Rock,4,,1900,1200,EARTH
43739056,Amanokujaki,effect,Fiend,3,,1000,1000,LIGHT
18988391,Amarylease,effect,Plant,1,,100,200,EARTH
20073910,Amaterasu,effect,Fairy,9,,3000,3000,LIGHT
662855,Amatsu-Okami of the Divine Peaks,link,Dragon,4,,3000,,LIGHT
66984907,Amaze Attraction Cyclo-Coaster,trap,Normal,,,,,
92650018,Amaze Attraction Horror House,trap,Normal,,,,,
29867611,Amaze Attraction Majestic Merry-Go-Round,trap,Normal,,,,,
55262310,Amaze Attraction Rapid Racing,trap,Normal,,,,,
36591747,Amaze Attraction Thrill Train,trap,Normal,,,,,
97182396,Amaze Attraction Viking Vortex,trap,Normal,,,,,
93473606,Amaze Attraction Wonder Wheel,trap,Normal,,,,,
31600845,Amazement Abomination Arlekino,effect,Psychic,7,,2600,2200,LIGHT
94821366,Amazement Administrator Arlekino,effect,Psychic,7,,2600,2200,DARK
30829071,Amazement Ambassador Bufo,effect,Beast,3,,1600,900,EARTH
22662014,Amazement Assistant Delia,effect,Machine,4,,1800,1400,LIGHT
67314110,Amazement Attendant Comica,effect,Machine,4,,1400,1800,LIGHT
20989253,Amazement Family Faces,trap,Normal,,,,,
33773528,Amazement Precious Park,spell,Field,,,,,
6374519,Amazement Special Show,spell,Quick-Play,,,,,
37803970,Amazing Pendulum,spell,Normal,,,,,
70389815,Amazing Time Ticket,spell,Quick-Play,,,,,
17968114,Amazon of the Seas,normal,Fish,4,,1300,1400,WATER
91869203,Amazoness Archer,effect,Warrior,4,,1400,1000,EARTH
67987611,Amazoness Archers,trap,Normal,,,,,
23965033,Amazoness Augusta,fusion,Warrior,10,,3200,2800,EARTH
10928224,Amazoness Baby Tiger,effect,Beast,2,,500,500,EARTH
73574678,Amazoness Blowpiper,effect,Warrior,3,,800,1500,EARTH
57312333,Amazoness Call,spell,Quick-Play,,,,,
29654737,Amazoness Chain Master,effect,Warrior,4,,1500,1300,EARTH
4591250,Amazoness Empress,fusion,Warrior,8,,2800,2400,EARTH
55821894,Amazoness Fighter,effect,Warrior,4,,1500,1300,EARTH
36100154,Amazoness Fighting Spirit,spell,Continuous,,,,,
97692972,Amazoness Golden Whip Master,effect_pendulum,Warrior,5,1,2000,1200,EARTH
25396150,Amazoness Hall,trap,Continuous,,,,,
79965360,Amazoness Heirloom,spell,Equip,,,,,
62480168,Amazoness Hot Spring,trap,Continuous,,,,,
83407038,Amazoness Onslaught,trap,Continuous,,,,,
47480070,Amazoness Paladin,effect,Warrior,4,,1700,300,EARTH
68507541,Amazoness Pet Liger,fusion,Beast,7,,2500,2400,EARTH
59353647,Amazoness Pet Liger King,fusion,Beast,9,,2900,2800,EARTH
84539520,Amazoness Princess,effect,Warrior,3,,1200,900,EARTH
15951532,Amazoness Queen,effect,Warrior,6,,2400,1800,EARTH
53162898,Amazoness Sage,effect,Warrior,4,,1400,700,EARTH
71209500,Amazoness Scouts,effect,Warrior,2,,500,1100,EARTH
86758746,Amazoness Secret Arts,spell,Quick-Play,,,,,
6459419,Amazoness Shamanism,trap,Normal,,,,,
24087580,Amazoness Silver Sword Master,effect_pendulum,Warrior,3,7,1200,2000,EARTH
81325903,Amazoness Spellcaster,spell,Normal,,,,,
97870394,Amazoness Spiritualist,effect,Warrior,2,,800,1800,EARTH
31102447,Amazoness Spy,effect,Warrior,3,,800,1200,EARTH
94004268,Amazoness Swords Woman,effect,Warrior,4,,1500,1600,EARTH
10979723,Amazoness Tiger,effect,Beast,4,,1100,1500,EARTH
89567993,Amazoness Trainee,effect,Warrior,4,,1500,1300,EARTH
712559,Amazoness Village,spell,Field,,,,,
50486289,Amazoness War Chief,effect,Warrior,5,,1900,0,EARTH
22082163,Amazoness Willpower,trap,Continuous,,,,,
41224658,Ambitious Gofer,effect,Fiend,6,,2400,100,DARK
98927491,Ambulance Rescueroid,fusion,Machine,6,,2300,1800,FIRE
36378213,Ambulanceroid,effect,Machine,3,,300,1200,EARTH
77972406,Ambush Fangs,trap,Normal,,,,,
95174353,Ameba,effect,Aqua,1,,300,350,WATER
40213117,Amores of Prophecy,effect,Spellcaster,3,,600,2000,EARTH
98287529,"Amorphactor Pain, the Imagination Dracoverlord",ritual,Dragon,8,,2950,2500,EARTH
33300669,Amorphage Envy,effect_pendulum,Dragon,4,5,0,2050,EARTH
34522216,Amorphage Gluttony,effect_pendulum,Dragon,2,5,0,1850,EARTH
69072185,Amorphage Goliath,effect_pendulum,Dragon,8,5,2750,0,EARTH
7305060,Amorphage Greed,effect_pendulum,Dragon,4,3,0,1950,EARTH
50554729,Amorphage Infection,spell,Continuous,,,,,
70917315,Amorphage Lechery,effect_pendulum,Dragon,2,5,1350,0,EARTH
47598941,Amorphage Lysis,trap,Continuous,,,,,
6283472,Amorphage Pride,effect_pendulum,Dragon,4,3,1750,0,EARTH
32687071,Amorphage Sloth,effect_pendulum,Dragon,6,3,2250,0,EARTH
79794767,Amorphage Wrath,effect_pendulum,Dragon,4,3,1650,0,EARTH
23160024,Amorphous Persona,spell,Field,,,,,
67371383,Amphibian Beast,normal,Fish,6,,2400,2000,WATER
40173854,Amphibious Bugroth,fusion,Aqua,5,,1850,1300,WATER
4754691,Amphibious Bugroth MK-11,effect,Machine,5,,1850,1500,WATER
64342551,Amphibious Bugroth MK-3,effect,Machine,4,,1500,1300,WATER
20665527,Amphibious Swarmship Amblowhale,link,Machine,4,,2600,,FIRE
303660,Amplifier,spell,Equip,,,,,
75380687,Amulet Dragon,fusion,Dragon,8,,2900,2500,DARK
5183693,Amulet of Ambition,spell,Equip,,,,,
61160289,"Amunessia, the Ogdoadic Queen",effect,Reptile,8,,2700,2100,DARK
23927567,An Owl of Luck,effect,Winged Beast,2,,300,500,WIND
19763315,An Unfortunate Report,trap,Normal,,,,,
58324930,Anarchist Monk Ranshin,effect,Spellcaster,4,,1800,100,EARTH
52296675,Anchamoufrite,effect_pendulum,Spellcaster,5,4,1800,0,LIGHT
42431843,Ancient Brain,normal,Fiend,3,,1000,700,DARK
78665705,Ancient Chant,spell,Normal,,,,,
34487429,Ancient City - Rainbow Ruins,spell,Field,,,,,
50781944,Ancient Crimson Ape,effect,Beast,7,,2600,1800,LIGHT
38520918,Ancient Dragon,effect,Dragon,4,,1400,1300,LIGHT
93221206,Ancient Elf,normal,Spellcaster,4,,1450,1200,LIGHT
25862681,Ancient Fairy Dragon,synchro,Dragon,7,,2100,3000,LIGHT
26304459,Ancient Flamvell Deity,synchro,Pyro,7,,2500,200,FIRE
87624166,Ancient Forest,spell,Field,,,,,
300302022,Ancient Fusion,skill,Dr. Vellian C,,,,,
31557782,Ancient Gear,effect,Machine,2,,100,800,EARTH
4064925,Ancient Gear Advance,spell,Continuous,,,,,
10547580,Ancient Gear Ballista,link,Machine,2,,1500,,EARTH
10509340,Ancient Gear Beast,effect,Machine,6,,2000,2000,EARTH
60953949,Ancient Gear Box,effect,Machine,4,,500,2000,EARTH
80045583,Ancient Gear Cannon,effect,Machine,2,,500,500,EARTH
92001300,Ancient Gear Castle,spell,Continuous,,,,,
44052074,Ancient Gear Catapult,spell,Normal,,,,,
27483935,Ancient Gear Commander,effect,Machine,4,,500,2000,EARTH
64603182,Ancient Gear Dark Golem,effect,Machine,8,,3000,3000,EARTH
75892194,Ancient Gear Dragon,effect,Machine,5,,500,2500,EARTH
67829249,Ancient Gear Drill,spell,Normal,,,,,
53541822,Ancient Gear Duel,trap,Continuous,,,,,
1953925,Ancient Gear Engineer,effect,Machine,5,,1500,1500,EARTH
4446672,Ancient Gear Explosive,spell,Normal,,,,,
30435145,Ancient Gear Factory,spell,Normal,,,,,
40830387,Ancient Gear Fist,spell,Equip,,,,,
70147689,Ancient Gear Fortress,spell,Continuous,,,,,
1278431,Ancient Gear Frame,effect,Machine,4,,1600,500,EARTH
64061284,Ancient Gear Fusion,spell,Normal,,,,,
18486927,Ancient Gear Gadget,effect,Machine,4,,500,2000,EARTH
86321248,Ancient Gear Gadjiltron Chimera,effect,Machine,6,,2300,1300,EARTH
