Id,Value.number,Value.name,Value.CardFrame,Value.CardType,Value.Level,Value.Scale,Value.Attack,Value.Defense,Value.Attribute
42,69381150,A.I.Q,trap,Continuous,0,-1,0,0,
43,96146814,A/D Changer,effect,Warrior,1,-1,0,0,LIGHT
44,10796448,A?Speculation,fusion,Warrior,7,-1,0,0,LIGHT
45,12694768,Abaki,effect,Fiend,4,-1,0,0,FIRE
46,89718302,Abare Ushioni,effect,Beast-Warrior,4,-1,0,0,EARTH
47,1561110,ABC-Dragon Buster,fusion,Machine,8,-1,0,0,LIGHT
48,80801743,Abominable Chamber of the Unchained,trap,Normal,0,-1,0,0,
49,1966438,Abominable Unchained Soul,effect,Fiend,8,-1,0,0,DARK
50,27412542,Abomination's Prison,spell,Normal,0,-1,0,0,
51,70832512,Absolute Crusader,effect,Warrior,4,-1,0,0,EARTH
52,27744077,Absolute End,trap,Normal,0,-1,0,0,
53,27553701,Absolute King - Megaplunder,normal,Dinosaur,6,-1,0,0,EARTH
54,60990740,Absolute King Back Jack,effect,Fiend,1,-1,0,0,DARK
55,51779204,Absolute Powerforce,spell,Quick-Play,0,-1,0,0,
56,71422989,Absorb Fusion,spell,Normal,0,-1,0,0,
57,3900605,Absorbing Jar,effect,Rock,3,-1,0,0,EARTH
58,49771608,Absorbing Kid from the Sky,effect,Fairy,4,-1,0,0,LIGHT
59,67748760,Absorouter Dragon,effect,Dragon,7,-1,0,0,DARK
60,15308295,Abyss Actor - Comic Relief,effect_pendulum,Fiend,3,8,0,0,DARK
61,44179224,Abyss Actor - Curtain Raiser,effect_pendulum,Fiend,4,7,0,0,DARK
62,52240819,Abyss Actor - Evil Heel,effect_pendulum,Fiend,8,1,0,0,DARK
63,88412339,Abyss Actor - Extras,effect_pendulum,Fiend,1,3,0,0,DARK
64,99634927,Abyss Actor - Funky Comedian,effect_pendulum,Fiend,1,8,0,0,DARK
65,2368215,Abyss Actor - Hyper Director,link,Fiend,1,-1,0,0,DARK
66,24907044,Abyss Actor - Leading Lady,effect_pendulum,Fiend,4,2,0,0,DARK
67,65477143,Abyss Actor - Liberty Dramatist,effect_pendulum,Fiend,4,8,0,0,DARK
68,78310590,Abyss Actor - Mellow Madonna,effect_pendulum,Fiend,7,0,0,0,DARK
69,51028231,Abyss Actor - Sassy Rookie,effect_pendulum,Fiend,4,2,0,0,DARK
70,47404795,Abyss Actor - Super Producer,link,Fiend,2,-1,0,0,DARK
71,25629622,Abyss Actor - Superstar,effect_pendulum,Fiend,7,3,0,0,DARK
72,39024589,Abyss Actor - Trendy Understudy,effect_pendulum,Fiend,2,8,0,0,DARK
73,7279373,Abyss Actor - Twinkle Little Star,effect_pendulum,Fiend,4,9,0,0,DARK
74,51391183,Abyss Actor - Wild Hope,effect_pendulum,Fiend,4,2,0,0,DARK
75,59057953,Abyss Actors Back Stage,trap,Normal,0,-1,0,0,
76,4682617,Abyss Actors' Curtain Call,trap,Normal,0,-1,0,0,
77,6004133,Abyss Actors' Dress Rehearsal,spell,Normal,0,-1,0,0,
78,21044178,Abyss Dweller,xyz,Sea Serpent,4,-1,0,0,WATER
79,40387124,Abyss Flower,normal,Plant,2,-1,0,0,EARTH
80,82184400,Abyss Keeper,link,Fish,2,-1,0,0,WATER
81,77297908,Abyss Playhouse - Fantastic Theater,spell,Field,0,-1,0,0,
82,86578200,Abyss Prop - Wild Wagon,spell,Continuous,0,-1,0,0,
83,70564929,Abyss Script - Abysstainment,spell,Continuous,0,-1,0,0,
84,33503878,Abyss Script - Dramatic Story,spell,Normal,0,-1,0,0,
85,87390798,Abyss Script - Fantasy Magic,spell,Normal,0,-1,0,0,
86,50179591,Abyss Script - Fire Dragon's Lair,spell,Normal,0,-1,0,0,
87,23784496,Abyss Script - Opening Ceremony,spell,Normal,0,-1,0,0,
88,13662809,Abyss Script - Rise of the Abyss King,spell,Normal,0,-1,0,0,
89,41803903,Abyss Script - Romantic Terror,spell,Quick-Play,0,-1,0,0,
90,61496006,Abyss Shark,effect,Fish,5,-1,0,0,WATER
91,18318842,Abyss Soldier,effect,Aqua,4,-1,0,0,WATER
92,97232518,Abyss Stungray,trap,Continuous,0,-1,0,0,
93,88409165,Abyss Warrior,effect,Aqua,4,-1,0,0,WATER
94,19596712,Abyss-scale of Cetus,spell,Equip,0,-1,0,0,
95,8719957,Abyss-scale of the Kraken,spell,Equip,0,-1,0,0,
96,72932673,Abyss-scale of the Mizuchi,spell,Equip,0,-1,0,0,
97,79206750,Abyss-scorn,trap,Normal,0,-1,0,0,
98,60202749,Abyss-sphere,trap,Continuous,0,-1,0,0,
99,34707034,Abyss-squall,trap,Normal,0,-1,0,0,
100,97697447,Abyss-strom,trap,Normal,0,-1,0,0,
101,89801755,Abyssal Designator,spell,Normal,0,-1,0,0,
102,44223284,Abyssal Kingshark,effect,Fish,4,-1,0,0,WATER
103,30983281,Accel Synchro Stardust Dragon,synchro,Dragon,8,-1,0,0,WIND
104,37675907,Accel Synchron,synchro,Machine,5,-1,0,0,DARK
105,34838437,Accellight,spell,Normal,0,-1,0,0,
106,86066372,Accesscode Talker,link,Cyberse,4,-1,0,0,DARK
107,98444741,Accumulated Fortune,trap,Normal,0,-1,0,0,
108,98865920,Achacha Archer,effect,Warrior,3,-1,0,0,FIRE
109,62476197,Achacha Chanbara,effect,Warrior,3,-1,0,0,FIRE
110,15808381,Achichi @Ignister,effect,Cyberse,2,-1,0,0,FIRE
111,77568553,Acid Crawler,normal,Insect,3,-1,0,0,EARTH
112,21323861,Acid Rain,spell,Normal,0,-1,0,0,
113,41356845,Acid Trap Hole,trap,Normal,0,-1,0,0,
114,35956022,Acidic Downpour,spell,Field,0,-1,0,0,
115,21051977,Acorno,effect,Plant,1,-1,0,0,EARTH
116,47372349,Acrobat Monkey,normal,Machine,3,-1,0,0,EARTH
117,33656832,Acrobatic Magician,effect_pendulum,Spellcaster,5,2,0,0,DARK
118,35498188,Action Magic - Double Banking,spell,Quick-Play,0,-1,0,0,
119,99004583,Action Magic - Full Turn,spell,Quick-Play,0,-1,0,0,
120,81555617,Ad Libitum of Despia,effect,Fairy,8,-1,0,0,DARK
121,11302671,Adamancipator Analyzer,effect,Rock,4,-1,0,0,EARTH
122,10286023,Adamancipator Crystal - Dragite,effect,Rock,4,-1,0,0,WATER
123,47897376,Adamancipator Crystal - Leonite,effect,Rock,4,-1,0,0,FIRE
124,74891384,Adamancipator Crystal - Raptite,effect,Rock,4,-1,0,0,WIND
125,99927991,Adamancipator Friends,spell,Normal,0,-1,0,0,
126,46552140,Adamancipator Laputite,spell,Field,0,-1,0,0,
127,9341993,Adamancipator Relief,trap,Normal,0,-1,0,0,
128,85914562,Adamancipator Researcher,effect,Rock,2,-1,0,0,EARTH
129,45730592,Adamancipator Resonance,trap,Counter,0,-1,0,0,
130,9464441,Adamancipator Risen - Dragite,synchro,Rock,8,-1,0,0,WATER
131,47674738,Adamancipator Risen - Leonite,synchro,Rock,6,-1,0,0,FIRE
132,73079836,Adamancipator Risen - Raptite,synchro,Rock,6,-1,0,0,WIND
133,48519867,Adamancipator Seeker,effect,Rock,2,-1,0,0,EARTH
134,72957245,Adamancipator Signs,spell,Normal,0,-1,0,0,
135,23812568,Additional Mirror Level 7,spell,Quick-Play,0,-1,0,0,
136,62325062,Adhesion Trap Hole,trap,Normal,0,-1,0,0,
137,53828396,Adhesive Explosive,effect,Machine,3,-1,0,0,WIND
138,94119480,"Adreus Keeper of Armageddon",xyz,Fiend,5,-1,0,0,DARK
139,15464375,Adularia of the June Moon,effect,Spellcaster,5,-1,0,0,WATER
140,51630558,Advance Draw,spell,Normal,0,-1,0,0,
141,38589847,Advance Force,spell,Continuous,0,-1,0,0,
142,76224717,Advance Zone,spell,Continuous,0,-1,0,0,
143,18847598,Advanced Crystal Beast Amber Mammoth,effect,Beast,4,-1,0,0,EARTH
144,19963185,Advanced Crystal Beast Amethyst Cat,effect,Beast,3,-1,0,0,EARTH
145,45236142,Advanced Crystal Beast Cobalt Eagle,effect,Winged Beast,4,-1,0,0,WIND
146,46358784,Advanced Crystal Beast Emerald Tortoise,effect,Aqua,3,-1,0,0,WATER
147,83575471,Advanced Crystal Beast Ruby Carbuncle,effect,Fairy,3,-1,0,0,LIGHT
148,71620241,Advanced Crystal Beast Sapphire Pegasus,effect,Beast,4,-1,0,0,WIND
149,72843899,Advanced Crystal Beast Topaz Tiger,effect,Beast,4,-1,0,0,EARTH
150,12644061,Advanced Dark,spell,Field,0,-1,0,0,
151,61314842,Advanced Heraldry Art,spell,Normal,0,-1,0,0,
152,46052429,Advanced Ritual Art,spell,Ritual,0,-1,0,0,
153,10678778,Aegaion the Sea Castrum,xyz,Machine,8,-1,0,0,WATER
154,47060347,Aegis of Gaia,trap,Continuous,0,-1,0,0,
155,7935043,Aegis of the Ocean Dragon Lord,trap,Normal,0,-1,0,0,
156,70875955,Aerial Recharge,trap,Continuous,0,-1,0,0,
157,83094004,Aeropixthree,effect,Fairy,1,-1,0,0,WIND
158,56804361,"Aether the Empowering Dragon",effect,Dragon,6,-1,0,0,LIGHT
159,28865322,"Aether the Evil Empowering Dragon",effect_pendulum,Dragon,6,4,0,0,DARK
160,82263578,After the Storm,spell,Normal,0,-1,0,0,
161,25345186,After the Struggle,spell,Normal,0,-1,0,0,
162,43575579,Afterglow,spell,Normal,0,-1,0,0,
163,64952266,Against the Wind,spell,Normal,0,-1,0,0,
164,2411269,Agave Dragon,link,Wyrm,4,-1,0,0,EARTH
165,27822206,Ages of Stars and Frost,spell,Quick-Play,0,-1,0,0,
166,16135253,Agido,effect,Fairy,4,-1,0,0,EARTH
167,62320425,Agido the Ancient Sentinel,effect,Fairy,4,-1,0,0,EARTH
168,13014905,Agnimal Candle,effect,Pyro,4,-1,0,0,FIRE
169,86377375,"Ahrima the Wicked Warden",effect,Fiend,4,-1,0,0,DARK
170,96084564,Aileron,effect,Machine,1,-1,0,0,WIND
171,69023354,Air Armor Ninja,effect,Warrior,4,-1,0,0,WIND
172,98864751,Air Cracking Storm,spell,Equip,0,-1,0,0,
173,8353769,Air Eater,normal,Fiend,6,-1,0,0,WIND
174,18036057,Airknight Parshath,effect,Fairy,5,-1,0,0,LIGHT
175,84747429,Airorca,effect,Sea Serpent,3,-1,0,0,WIND
176,48202661,Aitsu,normal,Fairy,5,-1,0,0,FIRE
177,35877582,"Aiwass the Magistus Spell Spirit",fusion,Fiend,8,-1,0,0,WIND
178,63378869,Aiza the Dragoness of Deranged Devotion,effect,Dragon,4,-1,0,0,FIRE
179,38035986,Akakieisu,normal,Spellcaster,3,-1,0,0,DARK
180,28776350,Akashic Magician,link,Spellcaster,2,-1,0,0,DARK
181,36904469,Akihiron,normal,Aqua,5,-1,0,0,WATER
182,38837163,"Akz the Pumer",effect,Beast-Warrior,6,-1,0,0,EARTH
183,25795273,Al-Lumi'raj,effect,Wyrm,3,-1,0,0,WIND
184,3410461,Alba-Lenatus the Abyss Dragon,fusion,Dragon,8,-1,0,0,DARK
185,37683547,Albaz the Ashen,effect,Dragon,4,-1,0,0,DARK
186,87746184,Albion the Branded Dragon,fusion,Dragon,8,-1,0,0,DARK
187,38811586,Albion the Sanctifire Dragon,fusion,Dragon,8,-1,0,0,LIGHT
188,25451383,Albion the Shrouded Dragon,effect,Dragon,8,-1,0,0,DARK
189,65301952,Alchemic Magician,xyz,Spellcaster,4,-1,0,0,DARK
190,78121572,Alchemist of Black Spells,effect,Spellcaster,4,-1,0,0,WIND
191,65384019,Alchemy Cycle,trap,Normal,0,-1,0,0,
192,17573739,"Alector Sovereign of Birds",effect,Winged Beast,6,-1,0,0,WIND
193,98787535,"Aleirtt the Ogdoadic Dark",effect,Reptile,8,-1,0,0,DARK
194,86120751,Aleister the Invoker,effect,Spellcaster,4,-1,0,0,DARK
195,97973962,Aleister the Invoker of Madness,link,Spellcaster,2,-1,0,0,DARK
196,26372118,ALERT!,spell,Quick-Play,0,-1,0,0,
197,43096270,Alexandrite Dragon,normal,Dragon,4,-1,0,0,LIGHT
198,45154513,Alghoul Mazera,effect,Zombie,8,-1,0,0,EARTH
199,14504454,"Alice Lady of Lament",effect,Fiend,3,-1,0,0,DARK
200,47728740,"Alich Malebranche of the Burning Abyss",effect,Fiend,3,-1,0,0,DARK
201,652362,Alien Ammonite,effect,Reptile,1,-1,0,0,LIGHT
202,17490535,Alien Brain,trap,Normal,0,-1,0,0,
203,15475415,Alien Dog,effect,Reptile,3,-1,0,0,LIGHT
204,62437709,Alien Grey,effect,Reptile,2,-1,0,0,LIGHT
205,62315111,Alien Hunter,effect,Reptile,4,-1,0,0,WATER
206,38468214,Alien Hypno,effect,Reptile,4,-1,0,0,WATER
207,76573247,Alien Infiltrator,effect,Reptile,2,-1,0,0,EARTH
208,64160836,Alien Kid,effect,Reptile,4,-1,0,0,LIGHT
209,99532708,Alien Mars,effect,Reptile,3,-1,0,0,FIRE
210,24104865,Alien Mother,effect,Reptile,6,-1,0,0,DARK
211,63253763,Alien Overlord,effect,Reptile,6,-1,0,0,DARK
212,58012107,Alien Psychic,effect,Reptile,1,-1,0,0,DARK
213,97127906,Alien Shocktrooper,normal,Reptile,4,-1,0,0,EARTH
214,74974229,Alien Shocktrooper M-Frame,link,Reptile,2,-1,0,0,LIGHT
215,25920413,Alien Skull,effect,Reptile,4,-1,0,0,WIND
216,58066722,Alien Stealthbuster,effect,Reptile,4,-1,0,0,LIGHT
217,91070115,Alien Telepath,effect,Reptile,4,-1,0,0,FIRE
218,98719226,Alien Warrior,effect,Reptile,4,-1,0,0,EARTH
219,70924884,Alinsection,normal,Insect,3,-1,0,0,EARTH
220,70335319,All-Eyes Phantom Dragon,effect_pendulum,Dragon,10,0,0,0,LIGHT
221,30834988,All-Out Attacks,trap,Continuous,0,-1,0,0,
222,64428736,Alligator's Sword,normal,Beast,4,-1,0,0,EARTH
223,3366982,Alligator's Sword Dragon,fusion,Dragon,5,-1,0,0,WIND
224,1475311,Allure of Darkness,spell,Normal,0,-1,0,0,
225,87257460,Allure Queen LV3,effect,Spellcaster,3,-1,0,0,DARK
226,23756165,Allure Queen LV5,effect,Spellcaster,5,-1,0,0,DARK
227,50140163,Allure Queen LV7,effect,Spellcaster,7,-1,0,0,DARK
228,92881099,Alluring Mirror Split,spell,Continuous,0,-1,0,0,
229,3544583,Allvain the Essence of Vanity,fusion,Fairy,2,-1,0,0,DARK
230,40155554,Ally Mind,normal,Machine,5,-1,0,0,DARK
231,26593852,Ally of Justice Catastor,synchro,Machine,5,-1,0,0,DARK
232,89386122,Ally of Justice Clausolas,normal,Machine,6,-1,0,0,DARK
233,36629203,Ally of Justice Core Destroyer,effect,Machine,3,-1,0,0,DARK
234,8822710,Ally of Justice Cosmic Gateway,effect,Machine,8,-1,0,0,DARK
235,8233522,Ally of Justice Cycle Reader,effect,Machine,3,-1,0,0,DARK
236,45586855,Ally of Justice Cyclone Creator,effect,Machine,3,-1,0,0,DARK
237,9888196,Ally of Justice Decisive Armor,synchro,Machine,10,-1,0,0,DARK
238,45033006,Ally of Justice Enemy Catcher,effect,Machine,6,-1,0,0,DARK
239,69461394,Ally of Justice Field Marshal,synchro,Machine,9,-1,0,0,DARK
240,25771826,Ally of Justice Garadholg,effect,Machine,4,-1,0,0,DARK
241,19204398,Ally of Justice Light Gazer,synchro,Machine,8,-1,0,0,DARK
242,76650663,Ally of Justice Nullfier,effect,Machine,4,-1,0,0,DARK
243,45450218,Ally of Justice Omni-Weapon,effect,Machine,5,-1,0,0,DARK
244,72845813,Ally of Justice Quarantine,effect,Machine,4,-1,0,0,DARK
245,55982698,Ally of Justice Reverse Break,effect,Machine,4,-1,0,0,DARK
246,52265835,Ally of Justice Rudra,effect,Machine,5,-1,0,0,DARK
247,3648368,Ally of Justice Searcher,effect,Machine,3,-1,0,0,DARK
248,85876417,Ally of Justice Thousand Arms,effect,Machine,4,-1,0,0,DARK
249,71438011,Ally of Justice Thunder Armor,effect,Machine,8,-1,0,0,DARK
250,22371016,Ally of Justice Unknown Crusher,effect,Machine,3,-1,0,0,DARK
251,82377606,Ally of Justice Unlimiter,effect,Machine,2,-1,0,0,DARK
252,59482302,Ally Salvo,effect,Machine,2,-1,0,0,DARK
253,92998610,Aloof Lupine,effect,Beast,4,-1,0,0,DARK
254,77797992,"Alpacaribou Mystical Beast of the Forest",effect,Beast,7,-1,0,0,EARTH
255,73355951,Alpha Summon,trap,Normal,0,-1,0,0,
256,42023223,Alpha The Electromagnet Warrior,effect,Rock,3,-1,0,0,EARTH
257,99785935,Alpha The Magnet Warrior,normal,Rock,4,-1,0,0,EARTH
258,73304257,"Alpha the Master of Beasts",effect,Beast,8,-1,0,0,EARTH
259,10406322,"Alsei the Sylvan High Protector",xyz,Plant,8,-1,0,0,LIGHT
260,21070956,Altar for Tribute,trap,Normal,0,-1,0,0,
261,61470213,Altergeist Adminia,link,Spellcaster,4,-1,0,0,DARK
262,80143954,Altergeist Camouflage,trap,Normal,0,-1,0,0,
263,21187631,Altergeist Dragvirion,synchro,Spellcaster,6,-1,0,0,DARK
264,86885905,Altergeist Emulatelf,trap,Continuous,0,-1,0,0,
265,98753320,Altergeist Failover,trap,Continuous,0,-1,0,0,
266,12977245,Altergeist Fifinellag,effect,Spellcaster,2,-1,0,0,DARK
267,85673903,Altergeist Fijialert,effect,Spellcaster,4,-1,0,0,WATER
268,2547033,Altergeist Haunted Rock,trap,Continuous,0,-1,0,0,
269,1508649,Altergeist Hexstia,link,Spellcaster,2,-1,0,0,FIRE
270,76685519,Altergeist Kidolga,link,Spellcaster,2,-1,0,0,DARK
271,52927340,Altergeist Kunquery,effect,Spellcaster,5,-1,0,0,EARTH
272,27132400,Altergeist Malwisp,effect,Spellcaster,3,-1,0,0,LIGHT
273,35146019,Altergeist Manifestation,trap,Normal,0,-1,0,0,
274,53143898,Altergeist Marionetter,effect,Spellcaster,4,-1,0,0,LIGHT
275,25533642,Altergeist Meluseek,effect,Spellcaster,1,-1,0,0,WATER
276,23790299,Altergeist Memorygant,link,Spellcaster,4,-1,0,0,DARK
277,42790071,Altergeist Multifaker,effect,Spellcaster,3,-1,0,0,DARK
278,54126514,Altergeist Peritrator,effect,Spellcaster,1,-1,0,0,FIRE
279,57769391,Altergeist Pixiel,effect,Spellcaster,1,-1,0,0,WIND
280,59185998,Altergeist Pookuery,effect,Spellcaster,1,-1,0,0,DARK
281,93503294,Altergeist Primebanshee,link,Spellcaster,3,-1,0,0,DARK
282,27541563,Altergeist Protocol,trap,Continuous,0,-1,0,0,
283,22024279,Altergeist Revitalization,trap,Normal,0,-1,0,0,
284,89538537,Altergeist Silquitous,effect,Spellcaster,2,-1,0,0,WIND
285,27632240,Altitude Knight,effect,Warrior,4,-1,0,0,WIND
286,62962630,Aluber the Jester of Despia,effect,Fairy,4,-1,0,0,DARK
287,27024795,Alviss of the Nordic Alfar,effect,Spellcaster,4,-1,0,0,DARK
288,2139640,Amabie,effect,Fairy,3,-1,0,0,WATER
289,32181268,Amano-Iwato,effect,Rock,4,-1,0,0,EARTH
290,43739056,Amanokujaki,effect,Fiend,3,-1,0,0,LIGHT
291,18988391,Amarylease,effect,Plant,1,-1,0,0,EARTH
292,20073910,Amaterasu,effect,Fairy,9,-1,0,0,LIGHT
293,662855,Amatsu-Okami of the Divine Peaks,link,Dragon,4,-1,0,0,LIGHT
294,66984907,Amaze Attraction Cyclo-Coaster,trap,Normal,0,-1,0,0,
295,92650018,Amaze Attraction Horror House,trap,Normal,0,-1,0,0,
296,29867611,Amaze Attraction Majestic Merry-Go-Round,trap,Normal,0,-1,0,0,
297,55262310,Amaze Attraction Rapid Racing,trap,Normal,0,-1,0,0,
298,36591747,Amaze Attraction Thrill Train,trap,Normal,0,-1,0,0,
299,97182396,Amaze Attraction Viking Vortex,trap,Normal,0,-1,0,0,
300,93473606,Amaze Attraction Wonder Wheel,trap,Normal,0,-1,0,0,
301,31600845,Amazement Abomination Arlekino,effect,Psychic,7,-1,0,0,LIGHT
302,94821366,Amazement Administrator Arlekino,effect,Psychic,7,-1,0,0,DARK
303,30829071,Amazement Ambassador Bufo,effect,Beast,3,-1,0,0,EARTH
304,22662014,Amazement Assistant Delia,effect,Machine,4,-1,0,0,LIGHT
305,67314110,Amazement Attendant Comica,effect,Machine,4,-1,0,0,LIGHT
306,20989253,Amazement Family Faces,trap,Normal,0,-1,0,0,
307,33773528,Amazement Precious Park,spell,Field,0,-1,0,0,
308,6374519,Amazement Special Show,spell,Quick-Play,0,-1,0,0,
309,37803970,Amazing Pendulum,spell,Normal,0,-1,0,0,
310,70389815,Amazing Time Ticket,spell,Quick-Play,0,-1,0,0,
311,17968114,Amazon of the Seas,normal,Fish,4,-1,0,0,WATER
312,91869203,Amazoness Archer,effect,Warrior,4,-1,0,0,EARTH
313,67987611,Amazoness Archers,trap,Normal,0,-1,0,0,
314,23965033,Amazoness Augusta,fusion,Warrior,10,-1,0,0,EARTH
315,10928224,Amazoness Baby Tiger,effect,Beast,2,-1,0,0,EARTH
316,73574678,Amazoness Blowpiper,effect,Warrior,3,-1,0,0,EARTH
317,57312333,Amazoness Call,spell,Quick-Play,0,-1,0,0,
318,29654737,Amazoness Chain Master,effect,Warrior,4,-1,0,0,EARTH
319,4591250,Amazoness Empress,fusion,Warrior,8,-1,0,0,EARTH
320,55821894,Amazoness Fighter,effect,Warrior,4,-1,0,0,EARTH
321,36100154,Amazoness Fighting Spirit,spell,Continuous,0,-1,0,0,
322,97692972,Amazoness Golden Whip Master,effect_pendulum,Warrior,5,1,0,0,EARTH
323,25396150,Amazoness Hall,trap,Continuous,0,-1,0,0,
324,79965360,Amazoness Heirloom,spell,Equip,0,-1,0,0,
325,62480168,Amazoness Hot Spring,trap,Continuous,0,-1,0,0,
326,83407038,Amazoness Onslaught,trap,Continuous,0,-1,0,0,
327,47480070,Amazoness Paladin,effect,Warrior,4,-1,0,0,EARTH
328,68507541,Amazoness Pet Liger,fusion,Beast,7,-1,0,0,EARTH
329,59353647,Amazoness Pet Liger King,fusion,Beast,9,-1,0,0,EARTH
330,84539520,Amazoness Princess,effect,Warrior,3,-1,0,0,EARTH
331,15951532,Amazoness Queen,effect,Warrior,6,-1,0,0,EARTH
332,53162898,Amazoness Sage,effect,Warrior,4,-1,0,0,EARTH
333,71209500,Amazoness Scouts,effect,Warrior,2,-1,0,0,EARTH
334,86758746,Amazoness Secret Arts,spell,Quick-Play,0,-1,0,0,
335,6459419,Amazoness Shamanism,trap,Normal,0,-1,0,0,
336,24087580,Amazoness Silver Sword Master,effect_pendulum,Warrior,3,7,0,0,EARTH
337,81325903,Amazoness Spellcaster,spell,Normal,0,-1,0,0,
338,97870394,Amazoness Spiritualist,effect,Warrior,2,-1,0,0,EARTH
339,31102447,Amazoness Spy,effect,Warrior,3,-1,0,0,EARTH
340,94004268,Amazoness Swords Woman,effect,Warrior,4,-1,0,0,EARTH
341,10979723,Amazoness Tiger,effect,Beast,4,-1,0,0,EARTH
342,89567993,Amazoness Trainee,effect,Warrior,4,-1,0,0,EARTH
343,712559,Amazoness Village,spell,Field,0,-1,0,0,
344,50486289,Amazoness War Chief,effect,Warrior,5,-1,0,0,EARTH
345,22082163,Amazoness Willpower,trap,Continuous,0,-1,0,0,
346,41224658,Ambitious Gofer,effect,Fiend,6,-1,0,0,DARK
347,98927491,Ambulance Rescueroid,fusion,Machine,6,-1,0,0,FIRE
348,36378213,Ambulanceroid,effect,Machine,3,-1,0,0,EARTH
349,77972406,Ambush Fangs,trap,Normal,0,-1,0,0,
350,95174353,Ameba,effect,Aqua,1,-1,0,0,WATER
351,40213117,Amores of Prophecy,effect,Spellcaster,3,-1,0,0,EARTH
352,98287529,"Amorphactor Pain the Imagination Dracoverlord",ritual,Dragon,8,-1,0,0,EARTH
353,33300669,Amorphage Envy,effect_pendulum,Dragon,4,5,0,0,EARTH
354,34522216,Amorphage Gluttony,effect_pendulum,Dragon,2,5,0,0,EARTH
355,69072185,Amorphage Goliath,effect_pendulum,Dragon,8,5,0,0,EARTH
356,7305060,Amorphage Greed,effect_pendulum,Dragon,4,3,0,0,EARTH
357,50554729,Amorphage Infection,spell,Continuous,0,-1,0,0,
358,70917315,Amorphage Lechery,effect_pendulum,Dragon,2,5,0,0,EARTH
359,47598941,Amorphage Lysis,trap,Continuous,0,-1,0,0,
360,6283472,Amorphage Pride,effect_pendulum,Dragon,4,3,0,0,EARTH
361,32687071,Amorphage Sloth,effect_pendulum,Dragon,6,3,0,0,EARTH
362,79794767,Amorphage Wrath,effect_pendulum,Dragon,4,3,0,0,EARTH
363,23160024,Amorphous Persona,spell,Field,0,-1,0,0,
364,67371383,Amphibian Beast,normal,Fish,6,-1,0,0,WATER
