Id,Value.number,Value.name,Value.CardFrame,Value.CardType,Value.Level,Value.Scale,Value.Attack,Value.Defense,Value.Attribute
12639,99212922,White Dragon Ninja,effect,Dragon,7,-1,0,0,LIGHT
12640,9786492,White Dragon Ritual,spell,Ritual,0,-1,0,0,
12641,99234526,White Dragon Wyverburster,effect,Dragon,4,-1,0,0,LIGHT
12642,3557275,White Duston,normal,Fiend,1,-1,0,0,LIGHT
12643,18756904,White Elephant's Gift,spell,Normal,0,-1,0,0,
12644,43487744,White Hole,trap,Normal,0,-1,0,0,
12645,62487836,White Howling,trap,Normal,0,-1,0,0,
12646,40352445,White Knight of Dogmatika,ritual,Spellcaster,8,-1,0,0,LIGHT
12647,15150365,White Magical Hat,effect,Spellcaster,3,-1,0,0,LIGHT
12648,81383947,White Magician Pikeru,effect,Spellcaster,2,-1,0,0,LIGHT
12649,19885332,White Mirror,spell,Normal,0,-1,0,0,
12650,32825095,White Moray,effect,Fish,2,-1,0,0,WATER
12651,79473793,White Night Dragon,effect,Dragon,8,-1,0,0,WATER
12652,20193924,White Night Queen,effect,Fairy,7,-1,0,0,LIGHT
12653,1571945,White Ninja,effect,Warrior,4,-1,0,0,LIGHT
12654,98024118,White Potan,effect,Fairy,1,-1,0,0,LIGHT
12655,91434208,White Reincarnation,spell,Continuous,0,-1,0,0,
12656,48654323,White Relic of Dogmatika,ritual,Spellcaster,4,-1,0,0,LIGHT
12657,84335863,White Rose Cloister,spell,Field,0,-1,0,0,
12658,12213463,White Rose Dragon,effect,Dragon,4,-1,0,0,DARK
12659,98684051,White Sardine,effect,Fish,2,-1,0,0,WATER
12660,11426487,White Steed of the Floral Knights,effect,Beast,6,-1,0,0,WIND
12661,49930315,White Stingray,effect,Fish,4,-1,0,0,WATER
12662,52596406,White Sunfish,effect,Fish,4,-1,0,0,WATER
12663,28348939,White Tiger Summoner,effect,Spellcaster,3,-1,0,0,EARTH
12664,49306994,White Veil,spell,Equip,0,-1,0,0,
12665,11067666,White Wing Magician,effect_pendulum,Spellcaster,4,1,0,0,WIND
12666,73891874,White-Horned Dragon,effect,Dragon,6,-1,0,0,DARK
12667,31374201,Whitebeard the Plunder Patroll Helm,effect,Fiend,4,-1,0,0,WATER
12668,63509474,Whitefish Salvage,spell,Continuous,0,-1,0,0,
12669,27103517,Wicked Acolyte Chilam Sabak,effect,Reptile,8,-1,0,0,DARK
12670,2957055,Wicked Dragon with the Ersatz Head,normal,Dragon,3,-1,0,0,WIND
12671,12965762,Wicked Plant Token,token,Plant,1,-1,0,0,EARTH
12672,23440062,Wicked Rebirth,trap,Continuous,0,-1,0,0,
12673,65810490,Wicked Token,token,Fiend,4,-1,0,0,DARK
